syd,did,wei,symptom,diagnose
1,163,2,upper abdominal pain,cholecystitis:inflammation of the gallbladder
2,163,1,lower abdominal pain,cholecystitis:inflammation of the gallbladder
7,163,1,back ache or pain,cholecystitis:inflammation of the gallbladder
29,163,2,fever,cholecystitis:inflammation of the gallbladder
32,163,1,flank pain,cholecystitis:inflammation of the gallbladder
54,163,1,kidney pain (flank pain),cholecystitis:inflammation of the gallbladder
113,163,1,vomiting,cholecystitis:inflammation of the gallbladder
179,163,2,jaundice (yellowing skin),cholecystitis:inflammation of the gallbladder
262,163,2,chest pain,cholecystitis:inflammation of the gallbladder
264,163,1,stomach and abdominal pain,cholecystitis:inflammation of the gallbladder
1,164,2,upper abdominal pain,choledocholithiasis:stone in bile duct
179,164,1,jaundice (yellowing skin),choledocholithiasis:stone in bile duct
232,164,2,steatorrhea (excess fat in stool),choledocholithiasis:stone in bile duct
262,164,1,chest pain,choledocholithiasis:stone in bile duct
1,165,1,upper abdominal pain,cholelithiasis:gallstones
2,165,,lower abdominal pain,cholelithiasis:gallstones
7,165,,back ache or pain,cholelithiasis:gallstones
13,165,,chest pressure,cholelithiasis:gallstones
32,165,1,flank pain,cholelithiasis:gallstones
54,165,,kidney pain (flank pain),cholelithiasis:gallstones
66,165,0,nausea,cholelithiasis:gallstones
89,165,0,shoulder ache or pain,cholelithiasis:gallstones
113,165,1,vomiting,cholelithiasis:gallstones
179,165,1,jaundice (yellowing skin),cholelithiasis:gallstones
262,165,,chest pain,cholelithiasis:gallstones
264,165,1,stomach and abdominal pain,cholelithiasis:gallstones
1,187,2,upper abdominal pain,constipation
2,187,2,lower abdominal pain,constipation
16,187,0,constipation,constipation
36,187,0,"cranky, crying, fussy, irritable child",constipation
37,187,0,groin pain,constipation
49,187,0,incontinence (leaking urine),constipation
66,187,0,nausea,constipation
148,187,2,urinary retention (inability to urinate),constipation
173,187,2,abdominal swelling (stomach swelling),constipation
275,187,0,low back ache or pain,constipation
264,187,2,stomach and abdominal pain,constipation
1,306,2,upper abdominal pain,gastric ulcer:stomach ulcer
4,306,1,alcohol abuse,gastric ulcer:stomach ulcer
66,306,1,nausea,gastric ulcer:stomach ulcer
155,306,2,melena (black stools from blood),gastric ulcer:stomach ulcer
156,306,3,vomiting coffee ground material,gastric ulcer:stomach ulcer
218,306,1,maroon stools,gastric ulcer:stomach ulcer
264,306,2,stomach and abdominal pain,gastric ulcer:stomach ulcer
1,307,1,upper abdominal pain,gastritis:stomach inflammation
7,307,0,back ache or pain,gastritis:stomach inflammation
9,307,1,blood in vomit,gastritis:stomach inflammation
13,307,0,chest pressure,gastritis:stomach inflammation
18,307,1,dark stools,gastritis:stomach inflammation
36,307,0,"cranky, crying, fussy, irritable child",gastritis:stomach inflammation
66,307,2,nausea,gastritis:stomach inflammation
113,307,0,vomiting,gastritis:stomach inflammation
155,307,2,melena (black stools from blood),gastritis:stomach inflammation
156,307,2,vomiting coffee ground material,gastritis:stomach inflammation
218,307,0,maroon stools,gastritis:stomach inflammation
275,307,0,low back ache or pain,gastritis:stomach inflammation
264,307,1,stomach and abdominal pain,gastritis:stomach inflammation
1,308,2,upper abdominal pain,gastroenteritis:intestinal infection
2,308,0,lower abdominal pain,gastroenteritis:intestinal infection
9,308,0,blood in vomit,gastroenteritis:intestinal infection
14,308,0,chills,gastroenteritis:intestinal infection
20,308,0,diarrhea,gastroenteritis:intestinal infection
21,308,0,dizziness,gastroenteritis:intestinal infection
29,308,0,fever,gastroenteritis:intestinal infection
36,308,2,"cranky, crying, fussy, irritable child",gastroenteritis:intestinal infection
37,308,0,groin pain,gastroenteritis:intestinal infection
66,308,2,nausea,gastroenteritis:intestinal infection
113,308,2,vomiting,gastroenteritis:intestinal infection
218,308,0,maroon stools,gastroenteritis:intestinal infection
264,308,2,stomach and abdominal pain,gastroenteritis:intestinal infection
1,309,2,upper abdominal pain,"gastroesophageal reflux:gerd, heartburn"
2,309,0,lower abdominal pain,"gastroesophageal reflux:gerd, heartburn"
9,309,0,blood in vomit,"gastroesophageal reflux:gerd, heartburn"
13,309,2,chest pressure,"gastroesophageal reflux:gerd, heartburn"
17,309,1,cough,"gastroesophageal reflux:gerd, heartburn"
17,309,1,cough,"gastroesophageal reflux:gerd, heartburn"
36,309,0,"cranky, crying, fussy, irritable child","gastroesophageal reflux:gerd, heartburn"
47,309,0,hoarse voice,"gastroesophageal reflux:gerd, heartburn"
66,309,0,nausea,"gastroesophageal reflux:gerd, heartburn"
93,309,0,sore throat,"gastroesophageal reflux:gerd, heartburn"
98,309,2,swallowing problem (dysphagia),"gastroesophageal reflux:gerd, heartburn"
113,309,0,vomiting,"gastroesophageal reflux:gerd, heartburn"
120,309,0,throat pain,"gastroesophageal reflux:gerd, heartburn"
181,309,2,flatulence (passing gas),"gastroesophageal reflux:gerd, heartburn"
239,309,2,chest burning,"gastroesophageal reflux:gerd, heartburn"
262,309,2,chest pain,"gastroesophageal reflux:gerd, heartburn"
264,309,2,stomach and abdominal pain,"gastroesophageal reflux:gerd, heartburn"
1,354,1,upper abdominal pain,hiatal hernia:stomach pushes through diaphragm
9,354,0,blood in vomit,hiatal hernia:stomach pushes through diaphragm
13,354,1,chest pressure,hiatal hernia:stomach pushes through diaphragm
239,354,2,chest burning,hiatal hernia:stomach pushes through diaphragm
262,354,1,chest pain,hiatal hernia:stomach pushes through diaphragm
264,354,1,stomach and abdominal pain,hiatal hernia:stomach pushes through diaphragm
1,401,1,upper abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
2,401,1,lower abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
16,401,2,constipation,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
20,401,2,diarrhea,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
66,401,0,nausea,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
74,401,1,pelvic pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
173,401,1,abdominal swelling (stomach swelling),"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
181,401,1,flatulence (passing gas),"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
218,401,0,maroon stools,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
264,401,1,stomach and abdominal pain,"irritable bowel syndrome:ibs, chronic intestinal pain and cramping"
1,411,1,upper abdominal pain,bowel obstruction:intestinal blockage
173,411,1,abdominal swelling (stomach swelling),bowel obstruction:intestinal blockage
1,513,1,upper abdominal pain,kidney stone:nephrolithiasis
2,513,1,lower abdominal pain,kidney stone:nephrolithiasis
7,513,2,back ache or pain,kidney stone:nephrolithiasis
32,513,1,flank pain,kidney stone:nephrolithiasis
33,513,1,frequent urination (frequency),kidney stone:nephrolithiasis
